date,rank,source,target,attention
2019-05-09,5,Asset_0,Asset_5,0.031391
2019-05-10,1,Asset_8,Asset_20,0.031422
2019-05-10,2,Asset_13,Asset_20,0.031422
2019-05-10,3,Asset_29,Asset_20,0.031422
2019-05-10,4,Asset_2,Asset_20,0.031422
2019-05-10,5,Asset_5,Asset_20,0.031422
2019-05-13,1,Asset_9,Asset_18,0.031521
2019-05-13,2,Asset_1,Asset_18,0.031521
2019-05-13,3,Asset_7,Asset_18,0.031521
2019-05-13,4,Asset_11,Asset_18,0.031521
2019-05-13,5,Asset_29,Asset_18,0.031521
2019-05-14,1,Asset_4,Asset_20,0.031441
2019-05-14,2,Asset_18,Asset_20,0.031441
2019-05-14,3,Asset_26,Asset_20,0.031441
2019-05-14,4,Asset_7,Asset_20,0.031441
2019-05-14,5,Asset_12,Asset_20,0.031441
2019-05-15,1,Asset_0,Asset_5,0.031381
2019-05-15,2,Asset_17,Asset_5,0.031381
2019-05-15,3,Asset_24,Asset_5,0.031381
2019-05-15,4,Asset_2,Asset_5,0.031381
2019-05-15,5,Asset_9,Asset_5,0.031381
2019-05-16,1,Asset_14,Asset_5,0.03141
2019-05-16,2,Asset_6,Asset_5,0.03141
2019-05-16,3,Asset_10,Asset_5,0.03141
2019-05-16,4,Asset_11,Asset_5,0.03141
2019-05-16,5,Asset_4,Asset_5,0.03141
2019-05-17,1,Asset_11,Asset_31,0.031371
2019-05-17,2,Asset_29,Asset_31,0.031371
2019-05-17,3,Asset_1,Asset_31,0.031371
2019-05-17,4,Asset_20,Asset_31,0.031371
2019-05-17,5,Asset_8,Asset_31,0.031371
2019-05-20,1,Asset_23,Asset_5,0.03139
2019-05-20,2,Asset_7,Asset_5,0.03139
2019-05-20,3,Asset_8,Asset_5,0.03139
2019-05-20,4,Asset_12,Asset_5,0.03139
2019-05-20,5,Asset_27,Asset_5,0.03139
2019-05-21,1,Asset_30,Asset_16,0.031351
2019-05-21,2,Asset_8,Asset_16,0.031351
2019-05-21,3,Asset_0,Asset_16,0.031351
2019-05-21,4,Asset_1,Asset_16,0.031351
2019-05-21,5,Asset_15,Asset_16,0.031351
2019-05-22,1,Asset_20,Asset_8,0.031364
2019-05-22,2,Asset_1,Asset_8,0.031364
2019-05-22,3,Asset_26,Asset_8,0.031364
2019-05-22,4,Asset_2,Asset_8,0.031364
2019-05-22,5,Asset_29,Asset_8,0.031364
2019-05-23,1,Asset_26,Asset_4,0.031363
2019-05-23,2,Asset_8,Asset_4,0.031363
2019-05-23,3,Asset_28,Asset_4,0.031363
2019-05-23,4,Asset_15,Asset_4,0.031363
2019-05-23,5,Asset_29,Asset_4,0.031363
2019-05-24,1,Asset_28,Asset_4,0.031609
